c2,s,BandGap1,BandGap2,BandGap3,BandGap4,BandGap5,BandGap6,BandGap7
13.5,0.31,4.8391,2.6587,3.123,4.796,0.87684,4.9159,1.8464
13.65,0.31,4.8618,2.7065,3.0976,4.8598,0.79077,4.935,1.9837
13.8,0.31,4.8842,2.7539,3.0717,4.9222,0.70452,4.9514,2.1211
13.95,0.31,4.9062,2.8011,3.0453,4.9832,0.61814,4.9653,2.2585
14.1,0.31,4.9279,2.848,3.0185,5.0429,0.5317,4.9768,2.3959
14.25,0.31,4.9492,2.8947,2.9913,5.1013,0.4453,4.9858,2.5332
14.4,0.31,4.9702,2.9411,2.9636,5.1583,0.3591,4.9925,2.6702
14.55,0.31,4.9909,2.9872,2.9356,5.2139,0.27342,4.9969,2.807
14.7,0.31,5.0113,3.033,2.9072,5.2682,0.1891,4.999,2.9436
14.85,0.31,5.0314,3.0786,2.8785,5.3212,0.10946,4.9991,3.0798
15,0.31,5.0512,3.1239,2.8494,5.3728,0.058583,4.997,3.2156
0.15,0.32,0.45623,0.74938,0.84986,0.75402,0.47034,0.0064374,0.45875
0.3,0.32,0.47648,0.73311,0.68333,0.33595,0.16977,0.60134,0.75899
0.45,0.32,0.41673,0.59319,0.43528,0.025845,0.39886,0.59364,0.44977
0.6,0.32,0.32066,0.42141,0.23414,0.11421,0.3837,0.38933,0.12697
0.75,0.32,0.20665,0.25113,0.098485,0.13138,0.25792,0.18128,0.038325
0.9,0.32,0.083986,0.094585,0.02251,0.069194,0.10039,0.043696,0.051269
1.05,0.32,0.042279,0.044209,0.0039556,0.040087,0.045887,0.0079427,0.037568
1.2,0.32,0.16926,0.16455,0.0091822,0.17374,0.16,0.017429,0.17686
1.35,0.32,0.29527,0.26712,0.053337,0.31626,0.23367,0.10262,0.32663
1.5,0.32,0.41931,0.35311,0.12137,0.45731,0.26565,0.22933,0.45963
1.65,0.32,0.54082,0.42393,0.20748,0.59021,0.25837,0.38109,0.55931
1.8,0.32,0.65946,0.48097,0.30699,0.71073,0.21613,0.5443,0.61715
1.95,0.32,0.77508,0.52559,0.41618,0.81637,0.14399,0.70823,0.63037
2.1,0.32,0.8876,0.55903,0.53207,0.9058,0.047135,0.86473,0.60011
2.25,0.32,0.99703,0.58246,0.65234,0.97848,0.06972,1.0078,0.53
2.4,0.32,1.1034,0.59691,0.7751,1.0344,0.20185,1.1333,0.42514
2.55,0.32,1.2068,0.60334,0.8989,1.0741,0.34547,1.2384,0.29134
2.7,0.32,1.3073,0.6026,1.0226,1.0982,0.49715,1.3215,0.13551
2.85,0.32,1.4049,0.59546,1.1451,1.1076,0.65396,1.382,0.054949
3,0.32,1.4998,0.58261,1.2659,1.1032,0.81343,1.4198,0.23598
3.15,0.32,1.5921,0.56466,1.3844,1.086,0.97347,1.4355,0.43303
3.3,0.32,1.6819,0.54216,1.4999,1.0572,1.1323,1.4302,0.63561
3.45,0.32,1.7691,0.5156,1.6123,1.0177,1.2886,1.4052,0.8399
3.6,0.32,1.8541,0.48542,1.7212,0.9686,1.441,1.3619,1.0429
3.75,0.32,1.9367,0.45202,1.8264,0.9108,1.5885,1.302,1.242
3.9,0.32,2.0172,0.41574,1.9278,0.84522,1.7303,1.227,1.4351
4.05,0.32,2.0955,0.3769,2.0252,0.77271,1.8658,1.1385,1.6202
4.2,0.32,2.1719,0.33578,2.1186,0.69404,1.9943,1.0382,1.7959
4.35,0.32,2.2462,0.29263,2.2078,0.60995,2.1156,0.92733,1.9608
4.5,0.32,2.3187,0.24767,2.293,0.52109,2.2291,0.80739,2.1137
4.65,0.32,2.3893,0.20111,2.374,0.42806,2.3347,0.6796,2.2538
4.8,0.32,2.4581,0.15313,2.4509,0.33142,2.4323,0.54513,2.3803
4.95,0.32,2.5253,0.10389,2.5238,0.23165,2.5217,0.40502,2.4928
5.1,0.32,2.5908,0.053538,2.5926,0.12922,2.6028,0.26025,2.5908
5.25,0.32,2.6547,0.0022028,2.6575,0.024511,2.6758,0.11167,2.6742
5.4,0.32,2.7171,0.049995,2.7185,0.082092,2.7407,0.039926,2.743
5.55,0.32,2.778,0.10295,2.7756,0.19026,2.7976,0.19381,2.7972
5.7,0.32,2.8375,0.15656,2.8291,0.2997,2.8466,0.34935,2.8372
5.85,0.32,2.8956,0.21074,2.8789,0.41014,2.888,0.50595,2.8632
6,0.32,2.9523,0.26542,2.9251,0.52134,2.9219,0.66307,2.8757
6.15,0.32,3.0077,0.32051,2.9679,0.63308,2.9485,0.82023,2.8753
6.3,0.32,3.0619,0.37596,3.0074,0.74515,2.9682,0.97699,2.8625
6.45,0.32,3.1148,0.4317,3.0435,0.85738,2.9811,1.1329,2.8379
6.6,0.32,3.1666,0.48769,3.0766,0.96962,2.9876,1.2877,2.8024
6.75,0.32,3.2172,0.54387,3.1066,1.0817,2.9879,1.4409,2.7564
6.9,0.32,3.2667,0.6002,3.1337,1.1935,2.9822,1.5923,2.7008
7.05,0.32,3.3151,0.65663,3.1579,1.3049,2.971,1.7416,2.6361
7.2,0.32,3.3624,0.71314,3.1794,1.4158,2.9544,1.8884,2.5631
7.35,0.32,3.4088,0.76968,3.1983,1.5261,2.9327,2.0326,2.4824
7.5,0.32,3.4541,0.82623,3.2146,1.6357,2.9062,2.1739,2.3946
7.65,0.32,3.4985,0.88276,3.2285,1.7445,2.8751,2.3122,2.3003
7.8,0.32,3.5419,0.93924,3.2401,1.8524,2.8397,2.4471,2.2001
7.95,0.32,3.5845,0.99565,3.2494,1.9594,2.8003,2.5785,2.0944
8.1,0.32,3.6262,1.052,3.2566,2.0655,2.757,2.7063,1.9838
8.25,0.32,3.667,1.1082,3.2617,2.1705,2.7102,2.8303,1.8688
8.4,0.32,3.707,1.1642,3.2648,2.2744,2.66,2.9503,1.7496
8.55,0.32,3.7461,1.2202,3.266,2.3771,2.6066,3.0663,1.6268
8.7,0.32,3.7845,1.2759,3.2654,2.4787,2.5503,3.1782,1.5008
8.85,0.32,3.8221,1.3315,3.2631,2.5791,2.4912,3.2857,1.3718
9,0.32,3.859,1.3869,3.2591,2.6782,2.4295,3.389,1.2403
9.15,0.32,3.8952,1.4421,3.2535,2.776,2.3653,3.4878,1.1064
9.3,0.32,3.9306,1.4971,3.2464,2.8724,2.2989,3.5821,0.97065
9.45,0.32,3.9654,1.5519,3.2379,2.9676,2.2304,3.672,0.83325
9.6,0.32,3.9995,1.6064,3.2279,3.0613,2.16,3.7573,0.69461
9.75,0.32,4.0329,1.6607,3.2166,3.1537,2.0877,3.8381,0.55527
9.9,0.32,4.0657,1.7148,3.2041,3.2447,2.0137,3.9144,0.41619
10.05,0.32,4.0979,1.7686,3.1903,3.3342,1.9382,3.9862,0.27986
10.2,0.32,4.1295,1.8221,3.1754,3.4223,1.8612,4.0534,0.15691
10.35,0.32,4.1605,1.8754,3.1593,3.5089,1.7829,4.1162,0.1136
10.5,0.32,4.191,1.9284,3.1422,3.594,1.7033,4.1746,0.2093
10.65,0.32,4.2209,1.9811,3.1241,3.6777,1.6226,4.2287,0.34323
10.8,0.32,4.2502,2.0336,3.105,3.7599,1.5409,4.2785,0.48502
10.95,0.32,4.279,2.0857,3.085,3.8405,1.4583,4.3241,0.62956
11.1,0.32,4.3073,2.1376,3.0641,3.9197,1.3748,4.3655,0.77539
11.25,0.32,4.3351,2.1892,3.0424,3.9973,1.2905,4.4029,0.92189
11.4,0.32,4.3624,2.2405,3.0198,4.0734,1.2056,4.4364,1.0688
11.55,0.32,4.3892,2.2915,2.9965,4.148,1.12,4.466,1.2158
11.7,0.32,4.4156,2.3422,2.9724,4.2211,1.034,4.4919,1.3628
11.85,0.32,4.4415,2.3926,2.9477,4.2927,0.94747,4.5141,1.5098
12,0.32,4.467,2.4426,2.9222,4.3627,0.86066,4.5327,1.6566
12.15,0.32,4.492,2.4924,2.8962,4.4312,0.77361,4.548,1.8031
12.3,0.32,4.5166,2.5419,2.8695,4.4982,0.68645,4.5599,1.9493
12.45,0.32,4.5408,2.5911,2.8422,4.5637,0.59935,4.5685,2.0952
12.6,0.32,4.5646,2.6399,2.8144,4.6277,0.51255,4.574,2.2406
12.75,0.32,4.588,2.6885,2.7861,4.6902,0.42644,4.5765,2.3856
12.9,0.32,4.611,2.7367,2.7572,4.7512,0.34174,4.5761,2.53
13.05,0.32,4.6336,2.7846,2.7278,4.8107,0.26007,4.5729,2.6739
13.2,0.32,4.6559,2.8323,2.698,4.8687,0.18569,4.5669,2.8173
13.35,0.32,4.6778,2.8796,2.6678,4.9253,0.13182,4.5583,2.96
13.5,0.32,4.6993,2.9265,2.6371,4.9804,0.12786,4.5471,3.1021
13.65,0.32,4.7205,2.9732,2.606,5.034,0.17721,4.5336,3.2435
13.8,0.32,4.7414,3.0196,2.5745,5.0863,0.25003,4.5176,3.3842
13.95,0.32,4.762,3.0656,2.5427,5.1371,0.33113,4.4994,3.5242
14.1,0.32,4.7822,3.1114,2.5105,5.1865,0.41561,4.4789,3.6635
14.25,0.32,4.8021,3.1568,2.478,5.2345,0.50168,4.4564,3.802
14.4,0.32,4.8217,3.2019,2.4451,5.2811,0.58857,4.4318,3.9398
14.55,0.32,4.841,3.2467,2.412,5.3264,0.67586,4.4053,4.0767
14.7,0.32,4.8601,3.2911,2.3786,5.3703,0.76333,4.3769,4.2129
14.85,0.32,4.8788,3.3353,2.3449,5.4129,0.85084,4.3466,4.3482
15,0.32,4.8972,3.3792,2.3109,5.4541,0.93828,4.3146,4.4827
0.15,0.33,0.47384,0.77118,0.85779,0.73172,0.39716,0.10197,0.56033
0.3,0.33,0.49246,0.74338,0.66209,0.26786,0.26096,0.66845,0.75642
0.45,0.33,0.4291,0.5945,0.40244,0.039608,0.45659,0.59763,0.37327
0.6,0.33,0.32913,0.41807,0.20315,0.16127,0.40731,0.35746,0.045204
0.75,0.33,0.21152,0.24683,0.076597,0.15764,0.26034,0.14607,0.090543
0.9,0.33,0.085749,0.09214,0.013253,0.077899,0.09692,0.026172,0.068867
1.05,0.33,0.04307,0.042691,0.00075114,0.043441,0.04232,0.0014668,0.043765
1.2,0.33,0.17207,0.15751,0.027846,0.18315,0.14004,0.054488,0.18991
1.35,0.33,0.29962,0.25339,0.08514,0.32604,0.19141,0.16262,0.32926
1.5,0.33,0.42478,0.33186,0.16503,0.46246,0.19805,0.3046,0.4372
1.65,0.33,0.547,0.39456,0.26147,0.5865,0.16469,0.46272,0.50089
1.8,0.33,0.66602,0.44308,0.3697,0.6947,0.09735,0.62323,0.51581
1.95,0.33,0.7817,0.47892,0.48599,0.78528,0.0042676,0.77589,0.48289
2.1,0.33,0.89402,0.50346,0.60742,0.85754,0.11487,0.91339,0.40645
2.25,0.33,1.003,0.51796,0.73172,0.91156,0.2483,1.0308,0.29263
2.4,0.33,1.1087,0.52355,0.85712,0.94787,0.39358,1.1249,0.14844
2.55,0.33,1.2112,0.52122,0.98225,0.96737,0.54672,1.1942,0.024533
2.7,0.33,1.3107,0.51189,1.106,0.97112,0.70435,1.2382,0.20657
2.85,0.33,1.4071,0.49635,1.2276,0.9603,0.86366,1.2572,0.40367
3,0.33,1.5007,0.47533,1.3464,0.93615,1.0223,1.2524,0.60754
3.15,0.33,1.5915,0.44945,1.4618,0.89989,1.1784,1.2251,0.81372
3.3,0.33,1.6797,0.41928,1.5735,0.85272,1.3304,1.1772,1.0185
3.45,0.33,1.7653,0.38531,1.6811,0.79579,1.4769,1.1106,1.2186
3.6,0.33,1.8484,0.34799,1.7846,0.73017,1.6169,1.0273,1.4116
3.75,0.33,1.9292,0.30772,1.8836,0.65688,1.7497,0.92925,1.595
3.9,0.33,2.0077,0.26484,1.9782,0.57682,1.8744,0.8184,1.7671
4.05,0.33,2.0841,0.21965,2.0683,0.49086,1.9908,0.69648,1.9262
4.2,0.33,2.1583,0.17245,2.1538,0.39975,2.0982,0.56514,2.0713
4.35,0.33,2.2305,0.12347,2.2347,0.30421,2.1967,0.42588,2.2013
4.5,0.33,2.3007,0.072925,2.3111,0.20487,2.2859,0.28005,2.3155
4.65,0.33,2.3691,0.021018,2.3829,0.1023,2.3659,0.1289,2.4135
4.8,0.33,2.4357,0.032079,2.4504,0.0029986,2.4366,0.026488,2.4951
4.95,0.33,2.5005,0.086213,2.5135,0.11055,2.4982,0.18511,2.5601
5.1,0.33,2.5637,0.14124,2.5724,0.21994,2.5508,0.34608,2.6088
5.25,0.33,2.6253,0.19704,2.6271,0.33081,2.5947,0.5086,2.6415
5.4,0.33,2.6852,0.25351,2.6777,0.44281,2.63,0.67195,2.6587
5.55,0.33,2.7437,0.31053,2.7244,0.55564,2.6571,0.83551,2.6609
5.7,0.33,2.8007,0.36803,2.7673,0.66904,2.6763,0.99868,2.6489
5.85,0.33,2.8564,0.42591,2.8065,0.78276,2.6879,1.1609,2.6234
6,0.33,2.9106,0.48411,2.8421,0.89659,2.6921,1.3218,2.5852
6.15,0.33,2.9636,0.54256,2.8742,1.0103,2.6895,1.4809,2.5352
6.3,0.33,3.0153,0.6012,2.903,1.1238,2.6803,1.6378,2.4742
6.45,0.33,3.0657,0.65999,2.9285,1.2368,2.6649,1.7921,2.4031
6.6,0.33,3.115,0.71886,2.951,1.3493,2.6436,1.9435,2.3226
6.75,0.33,3.1631,0.77778,2.9705,1.4611,2.6167,2.0917,2.2335
6.9,0.33,3.2101,0.8367,2.9872,1.572,2.5846,2.2364,2.1367
7.05,0.33,3.2561,0.8956,3.0011,1.6821,2.5477,2.3774,2.0328
7.2,0.33,3.301,0.95443,3.0124,1.7911,2.5061,2.5145,1.9226
7.35,0.33,3.3448,1.0132,3.0212,1.8991,2.4603,2.6474,1.8066
7.5,0.33,3.3878,1.0718,3.0276,2.0058,2.4105,2.7759,1.6855
7.65,0.33,3.4297,1.1303,3.0318,2.1113,2.3569,2.8999,1.5598
7.8,0.33,3.4708,1.1886,3.0337,2.2155,2.2999,3.0192,1.43
7.95,0.33,3.5109,1.2467,3.0335,2.3184,2.2396,3.1336,1.2966
8.1,0.33,3.5502,1.3047,3.0314,2.4198,2.1763,3.2431,1.16
8.25,0.33,3.5886,1.3624,3.0273,2.5198,2.1103,3.3476,1.0206
8.4,0.33,3.6263,1.4199,3.0214,2.6182,2.0417,3.4469,0.87883
8.55,0.33,3.6631,1.4771,3.0138,2.7151,1.9706,3.541,0.73499
8.7,0.33,3.6992,1.5341,3.0045,2.8105,1.8974,3.6298,0.58938
8.85,0.33,3.7345,1.5908,2.9937,2.9043,1.8222,3.7134,0.44229
9,0.33,3.7691,1.6472,2.9813,2.9964,1.7451,3.7917,0.29398
9.15,0.33,3.8031,1.7033,2.9675,3.0869,1.6663,3.8647,0.14473
9.3,0.33,3.8363,1.7591,2.9524,3.1757,1.5859,3.9324,0.0080314
9.45,0.33,3.8688,1.8147,2.9359,3.2629,1.5041,3.9948,0.15625
9.6,0.33,3.9008,1.8699,2.9183,3.3484,1.4211,4.0521,0.30725
9.75,0.33,3.9321,1.9248,2.8994,3.4321,1.3369,4.1043,0.45852
9.9,0.33,3.9627,1.9793,2.8794,3.5142,1.2516,4.1515,0.60987
10.05,0.33,3.9928,2.0335,2.8584,3.5945,1.1655,4.1937,0.76117
10.2,0.33,4.0223,2.0874,2.8363,3.6731,1.0785,4.231,0.91228
10.35,0.33,4.0513,2.141,2.8133,3.7501,0.99089,4.2636,1.0631
10.5,0.33,4.0797,2.1942,2.7894,3.8252,0.90274,4.2916,1.2135
10.65,0.33,4.1076,2.2471,2.7646,3.8987,0.8142,4.3151,1.3634
10.8,0.33,4.1349,2.2996,2.7389,3.9705,0.72545,4.3342,1.5127
10.95,0.33,4.1618,2.3517,2.7125,4.0405,0.63669,4.349,1.6613
11.1,0.33,4.1882,2.4035,2.6853,4.1089,0.54826,4.3598,1.8092
11.25,0.33,4.2141,2.455,2.6574,4.1755,0.46064,4.3665,1.9563
11.4,0.33,4.2395,2.5061,2.6287,4.2405,0.37473,4.3695,2.1025
11.55,0.33,4.2645,2.5568,2.5995,4.3038,0.29238,4.3687,2.2477
11.7,0.33,4.289,2.6072,2.5696,4.3655,0.21799,4.3644,2.392
11.85,0.33,4.3131,2.6572,2.5392,4.4255,0.16324,4.3566,2.5353
12,0.33,4.3368,2.7068,2.5081,4.4838,0.15145,4.3456,2.6775
12.15,0.33,4.36,2.7561,2.4766,4.5406,0.19086,4.3313,2.8185
12.3,0.33,4.3829,2.805,2.4445,4.5957,0.25907,4.3141,2.9585
12.45,0.33,4.4054,2.8535,2.412,4.6493,0.3391,4.2939,3.0972
12.6,0.33,4.4275,2.9017,2.379,4.7013,0.42424,4.2709,3.2348
12.75,0.33,4.4492,2.9495,2.3456,4.7518,0.51186,4.2452,3.3711
12.9,0.33,4.4706,2.997,2.3117,4.8007,0.6008,4.2169,3.5062
13.05,0.33,4.4916,3.044,2.2775,4.8482,0.69044,4.1862,3.64
13.2,0.33,4.5123,3.0908,2.2429,4.8941,0.78044,4.1532,3.7726
13.35,0.33,4.5326,3.1371,2.2079,4.9386,0.87059,4.1179,3.9038
13.5,0.33,4.5526,3.1831,2.1726,4.9816,0.96075,4.0804,4.0337
13.65,0.33,4.5723,3.2287,2.137,5.0232,1.0508,4.0409,4.1623
13.8,0.33,4.5917,3.274,2.1011,5.0634,1.1407,3.9994,4.2895
13.95,0.33,4.6108,3.3189,2.0649,5.1023,1.2303,3.956,4.4154
14.1,0.33,4.6295,3.3634,2.0284,5.1398,1.3197,3.9108,4.54
14.25,0.33,4.648,3.4076,1.9917,5.1759,1.4087,3.8639,4.6631
14.4,0.33,4.6662,3.4514,1.9547,5.2107,1.4973,3.8153,4.7849
14.55,0.33,4.6841,3.4949,1.9175,5.2443,1.5856,3.7652,4.9054
14.7,0.33,4.7018,3.538,1.8801,5.2766,1.6734,3.7136,5.0244
14.85,0.33,4.7192,3.5808,1.8425,5.3076,1.7607,3.6606,5.1421
15,0.33,4.7363,3.6232,1.8046,5.3374,1.8476,3.6062,5.2584
0.15,0.34,0.49212,0.79448,0.86469,0.7068,0.31753,0.20674,0.64899
0.3,0.34,0.50877,0.75353,0.63756,0.19774,0.34832,0.71902,0.73021
0.45,0.34,0.44147,0.59464,0.36677,0.10458,0.50639,0.58473,0.28126
0.6,0.34,0.33744,0.41347,0.17046,0.20641,0.42274,0.3143,0.039653
0.75,0.34,0.21622,0.24164,0.053985,0.18177,0.25696,0.10593,0.13913
0.9,0.34,0.087433,0.089339,0.0038627,0.085441,0.091137,0.0077203,0.083297
1.05,0.34,0.043817,0.041004,0.0054457,0.046093,0.037697,0.010817,0.047817
1.2,0.34,0.17471,0.14985,0.046161,0.18941,0.11647,0.089442,0.19327
1.35,0.34,0.30365,0.23874,0.11585,0.32996,0.14412,0.21623,0.31469
1.5,0.34,0.42977,0.3095,0.20653,0.45896,0.12526,0.36775,0.39159
1.65,0.34,0.55257,0.36403,0.31198,0.57144,0.066878,0.52576,0.41592
1.8,0.34,0.67184,0.40412,0.42741,0.66484,0.023874,0.67695,0.3876
1.95,0.34,0.78747,0.4314,0.54915,0.73816,0.13883,0.81202,0.31139
2.1,0.34,0.89948,0.44737,0.67437,0.79145,0.27223,0.92489,0.19453
2.25,0.34,1.0079,0.45337,0.80091,0.82539,0.41827,1.0119,0.045232
2.4,0.34,1.1129,0.4506,0.92713,0.84109,0.57222,1.0713,0.12861
2.55,0.34,1.2144,0.44009,1.0517,0.83985,0.73016,1.1027,0.31919
2.7,0.34,1.3128,0.4228,1.1738,0.82314,0.88886,1.107,0.51999
2.85,0.34,1.408,0.39955,1.2926,0.79241,1.0457,1.0855,0.72528
3,0.34,1.5002,0.37106,1.4075,0.74912,1.1985,1.0403,0.93019
3.15,0.34,1.5894,0.33798,1.5182,0.69466,1.3457,0.97364,1.1307
3.3,0.34,1.676,0.30088,1.6243,0.63034,1.4858,0.88792,1.3233
3.45,0.34,1.7598,0.26026,1.7256,0.55737,1.6177,0.78553,1.5053
3.6,0.34,1.8412,0.21655,1.8221,0.47687,1.7407,0.66877,1.6744
3.75,0.34,1.92,0.17014,1.9135,0.38984,1.8542,0.5398,1.8289
3.9,0.34,1.9965,0.12138,2,0.29721,1.9577,0.40062,1.9674
4.05,0.34,2.0708,0.070575,2.0814,0.1998,2.0509,0.25302,2.0887
4.2,0.34,2.1429,0.017985,2.1578,0.098349,2.1338,0.098654,2.1923
4.35,0.34,2.213,0.03615,2.2294,0.0064743,2.2062,0.061032,2.2778
4.5,0.34,2.281,0.09162,2.296,0.11408,2.2684,0.22474,2.3451
4.65,0.34,2.3471,0.14824,2.358,0.22393,2.3205,0.39131,2.3943
4.8,0.34,2.4114,0.20584,2.4153,0.33557,2.3627,0.55972,2.4258
4.95,0.34,2.4739,0.26427,2.4681,0.44856,2.3953,0.72907,2.4402
5.1,0.34,2.5347,0.32341,2.5165,0.56252,2.4186,0.89855,2.4381
5.25,0.34,2.5939,0.38313,2.5607,0.67713,2.4332,1.0674,2.4204
5.4,0.34,2.6514,0.44334,2.6008,0.79209,2.4392,1.2351,2.388
5.55,0.34,2.7075,0.50394,2.6369,0.90711,2.4373,1.4009,2.3419
5.7,0.34,2.7621,0.56484,2.6692,1.022,2.4278,1.5645,2.283
5.85,0.34,2.8153,0.62597,2.6978,1.1364,2.4112,1.7252,2.2123
6,0.34,2.8671,0.68726,2.723,1.2504,2.3878,1.8827,2.1309
6.15,0.34,2.9175,0.74866,2.7447,1.3635,2.3581,2.0367,2.0397
6.3,0.34,2.9668,0.81011,2.7632,1.4758,2.3225,2.1867,1.9396
6.45,0.34,3.0147,0.87156,2.7787,1.587,2.2815,2.3325,1.8315
6.6,0.34,3.0615,0.93296,2.7911,1.697,2.2353,2.4738,1.7162
6.75,0.34,3.1072,0.99428,2.8008,1.8058,2.1844,2.6103,1.5946
6.9,0.34,3.1518,1.0555,2.8078,1.9132,2.1291,2.7418,1.4672
7.05,0.34,3.1952,1.1165,2.8122,2.0191,2.0698,2.8682,1.335
7.2,0.34,3.2377,1.1774,2.8141,2.1235,2.0066,2.9891,1.1983
7.35,0.34,3.2791,1.2381,2.8137,2.2263,1.94,3.1046,1.0579
7.5,0.34,3.3196,1.2985,2.8111,2.3274,1.8703,3.2144,0.91421
7.65,0.34,3.3592,1.3587,2.8064,2.4268,1.7976,3.3184,0.76778
7.8,0.34,3.3978,1.4187,2.7997,2.5244,1.7222,3.4166,0.61906
7.95,0.34,3.4356,1.4783,2.7911,2.6201,1.6443,3.5089,0.46846
8.1,0.34,3.4725,1.5377,2.7806,2.714,1.5643,3.5953,0.31642
8.25,0.34,3.5086,1.5967,2.7685,2.8061,1.4822,3.6757,0.16351
8.4,0.34,3.5439,1.6554,2.7547,2.8962,1.3982,3.7501,0.019702
8.55,0.34,3.5785,1.7138,2.7393,2.9843,1.3126,3.8186,0.14764
8.7,0.34,3.6123,1.7718,2.7225,3.0705,1.2255,3.8812,0.30222
8.85,0.34,3.6453,1.8295,2.7043,3.1548,1.1371,3.9379,0.45724
9,0.34,3.6777,1.8868,2.6847,3.2371,1.0475,3.9889,0.6122
9.15,0.34,3.7094,1.9437,2.6639,3.3173,0.95689,4.0342,0.76684
9.3,0.34,3.7404,2.0002,2.6419,3.3956,0.86546,4.0739,0.92095
9.45,0.34,3.7708,2.0564,2.6187,3.472,0.77337,4.1082,1.0743
9.6,0.34,3.8005,2.1122,2.5945,3.5463,0.68082,4.1371,1.2269
9.75,0.34,3.8297,2.1676,2.5692,3.6187,0.58805,4.1609,1.3784
9.9,0.34,3.8582,2.2225,2.543,3.6891,0.49544,4.1796,1.5288
10.05,0.34,3.8862,2.2771,2.5158,3.7575,0.40357,4.1934,1.6779
10.2,0.34,3.9137,2.3313,2.4878,3.824,0.31364,4.2025,1.8256
10.35,0.34,3.9406,2.385,2.4589,3.8886,0.22854,4.207,1.9719
10.5,0.34,3.967,2.4384,2.4293,3.9513,0.15702,4.2071,2.1165
10.65,0.34,3.9929,2.4913,2.3989,4.0121,0.12567,4.203,2.2596
10.8,0.34,4.0182,2.5438,2.3678,4.071,0.16044,4.1948,2.4009
10.95,0.34,4.0432,2.596,2.336,4.1281,0.23356,4.1826,2.5404
11.1,0.34,4.0676,2.6476,2.3036,4.1834,0.31972,4.1667,2.6781
11.25,0.34,4.0916,2.6989,2.2706,4.2369,0.41075,4.1472,2.8138
11.4,0.34,4.1151,2.7498,2.237,4.2886,0.50394,4.1242,2.9476
11.55,0.34,4.1382,2.8002,2.2029,4.3386,0.59818,4.0979,3.0794
11.7,0.34,4.1609,2.8502,2.1683,4.3868,0.69294,4.0685,3.2092
11.85,0.34,4.1832,2.8998,2.1332,4.4334,0.78792,4.036,3.3369
12,0.34,4.2051,2.949,2.0976,4.4783,0.88293,4.0007,3.4625
12.15,0.34,4.2266,2.9978,2.0616,4.5216,0.97783,3.9627,3.586
12.3,0.34,4.2478,3.0461,2.0252,4.5633,1.0725,3.922,3.7073
12.45,0.34,4.2686,3.094,1.9884,4.6035,1.167,3.8789,3.8265
12.6,0.34,4.289,3.1415,1.9513,4.6421,1.2611,3.8334,3.9435
12.75,0.34,4.309,3.1886,1.9138,4.6792,1.3548,3.7857,4.0584
12.9,0.34,4.3288,3.2353,1.8759,4.7148,1.4481,3.7358,4.171
13.05,0.34,4.3482,3.2816,1.8378,4.749,1.5409,3.6839,4.2815
13.2,0.34,4.3672,3.3274,1.7994,4.7817,1.6332,3.6301,4.3898
13.35,0.34,4.386,3.3729,1.7607,4.8131,1.725,3.5745,4.4959
13.5,0.34,4.4044,3.4179,1.7217,4.8431,1.8162,3.5171,4.5999
13.65,0.34,4.4226,3.4625,1.6825,4.8718,1.9068,3.4581,4.7016
13.8,0.34,4.4405,3.5067,1.6431,4.8992,1.9967,3.3976,4.8012
13.95,0.34,4.458,3.5505,1.6035,4.9254,2.086,3.3355,4.8987
14.1,0.34,4.4753,3.5939,1.5636,4.9503,2.1747,3.2721,4.994
14.25,0.34,4.4924,3.6369,1.5236,4.9739,2.2626,3.2074,5.0872
14.4,0.34,4.5091,3.6795,1.4834,4.9964,2.3499,3.1414,5.1783
14.55,0.34,4.5257,3.7217,1.4431,5.0178,2.4363,3.0743,5.2674
14.7,0.34,4.5419,3.7635,1.4026,5.038,2.5221,3.006,5.3543
14.85,0.34,4.5579,3.805,1.3619,5.0571,2.607,2.9367,5.4392
15,0.34,4.5737,3.846,1.3211,5.0752,2.6912,2.8664,5.522
0.15,0.35,0.51083,0.81795,0.86936,0.67625,0.23119,0.30876,0.72535
0.3,0.35,0.52539,0.76338,0.60952,0.126,0.43065,0.75197,0.68
0.45,0.35,0.45386,0.59372,0.32849,0.16797,0.54701,0.55416,0.17648
0.6,0.35,0.34563,0.40772,0.13635,0.24872,0.42933,0.26049,0.12384
0.75,0.35,0.22078,0.23562,0.030866,0.20329,0.24773,0.061906,0.18204
0.9,0.35,0.08904,0.086198,0.0055747,0.091679,0.083162,0.011059,0.093892
1.05,0.35,0.044519,0.039153,0.010088,0.048008,0.032138,0.019766,0.049525
1.2,0.35,0.17715,0.14159,0.063982,0.19253,0.08998,0.1209,0.18678
1.35,0.35,0.30733,0.22314,0.14527,0.32819,0.093274,0.26118,0.28369
1.5,0.35,0.43425,0.28599,0.24563,0.44732,0.04962,0.41595,0.32537
1.65,0.35,0.55749,0.33228,0.35876,0.546,0.032096,0.56724,0.30923
1.8,0.35,0.67686,0.36399,0.47991,0.62263,0.14266,0.70279,0.23989
1.95,0.35,0.79231,0.3829,0.6055,0.67711,0.27429,0.81472,0.12564
2.1,0.35,0.90388,0.39061,0.73284,0.71023,0.42006,0.89848,0.023823
2.25,0.35,1.0117,0.38853,0.8599,0.72331,0.57427,0.95203,0.19884
2.4,0.35,1.1158,0.37789,0.98518,0.71799,0.73225,0.97511,0.39056
2.55,0.35,1.2163,0.35979,1.1075,0.69601,0.89022,0.96879,0.59121
